"Name"	"Type"	"Parent"	"Size"
"Bots"	"DIR"	"For Python"	""
"001"	"DIR"	"Bots"	""
"002"	"DIR"	"Bots"	""
"first bot"	"DIR"	"Bots"	""
"proba"	"DIR"	"Bots"	""
"00.py"	"FILE"	"Bots"	"824 bytes"
"002.py"	"FILE"	"Bots"	"357 bytes"
"003.py"	"FILE"	"Bots"	"866 bytes"
"04.py"	"FILE"	"Bots"	"898 bytes"
"bot.py"	"FILE"	"001"	"346 bytes"
"__pycache__"	"DIR"	"002"	""
"commands.py"	"FILE"	"002"	"537 bytes"
"main.py"	"FILE"	"002"	"485 bytes"
"commands.cpython-38.pyc"	"FILE"	"__pycache__"	"473 bytes"
"main.py"	"FILE"	"first bot"	"434 bytes"
"main.py"	"FILE"	"proba"	"534 bytes"
